CAR NAME,LOCATION,PRICE IN NAIRA,USE HISTORY,MILAGE,TRANSMISSION
Toyota Camry 2015 Blue,"Abuja (FCT), Karu","17,472,000",Foreign Used,121281 km,Automatic
Honda CR-V 2007 Blue,"Rivers State, Port-Harcourt","4,674,600",Local Used,213315 km,Automatic
Toyota Avensis Verso 2004 Gray,"Lagos State, Ikorodu","3,675,000",Local Used,195683 km,Automatic
Lexus RX 400h 2006 Blue,"Lagos State, Ikeja","7,140,000",Local Used,316344 km,Automatic
Honda Accord Sedan SE V-6 Automatic 2007 Gray,"Rivers State, Port-Harcourt","3,150,000",Local Used,142947 km,Automatic
Toyota Corolla 2005 Gray,"Abuja (FCT), Kubwa","4,200,000",Local Used,320466 km,Automatic
Lexus LX 2011 Black,"Lagos State, Ikeja","52,000,000",Local Used,10018 km,Automatic
Nissan Almera 2013 Gray,"Oyo State, Ibadan","2,940,000",Local Used,122093 km,Manual
Nissan Primera 2004 Gray,"Abuja (FCT), Gudu","5,040,000",Local Used,233348 km,Automatic
Toyota Camry 2000 Gray,"Lagos State, Ikorodu","2,415,000",Local Used,290007 km,Automatic
Lexus RX 300 2000 Silver,"Rivers State, Port-Harcourt","4,160,000",Local Used,203045 km,Automatic
Honda Accord 2005 Black,"Delta State, Oshimili South","2,310,000",Local Used,2159850 km,Automatic
Toyota Sienna 2011 Gray,"Lagos State, Alimosho","17,680,000",Foreign Used,288685 km,Automatic
Honda Accord 2004 Gray,"Oyo State, Ibadan","2,808,000",Local Used,333514 km,Automatic
Toyota Celica 2003 Red,"Lagos State, Ilupeju","5,670,000",Local Used,104584 km,Automatic
Land Rover Lr3 2006 Gray,"Lagos State, Yaba","10,400,000",Local Used,330118 km,Automatic
Honda Accord 1999 Silver,"Lagos State, Ilupeju","2,288,000",Local Used,106238 km,Automatic
Toyota Corolla 2009 Black,"Edo State, Benin City","10,185,000",Foreign Used,105302 km,Automatic
Honda Accord 2004 Gold,"Lagos State, Kosofe","3,120,000",Local Used,504864 km,Automatic
Toyota Sienna 2004 Gray,"Ondo State, Akure","9,360,000",Local Used,431143 km,Automatic
Mitsubishi Pajero 2019 Black,"Lagos State, Lekki","31,500,000",Local Used,69623 km,Automatic
Lexus ES 2009 White,"Enugu State, Enugu","8,610,000",Local Used,141135 km,Automatic
Lexus GX 2007 Black,"Abuja (FCT), Central Business District","8,400,000",Local Used,166334 km,Automatic
Toyota Land Cruiser 2007 Black,"Lagos State, Ilupeju","19,950,000",Local Used,Automatic,Automatic
Lexus IS 2008 Black,"Oyo State, Ibadan","9,880,000",Local Used,253247 km,Automatic
Honda Accord 2008 Black,"Abuja (FCT), Kubwa","4,200,000",Local Used,207147 km,Automatic
Mercedes-Benz C300 2015 White,"Delta State, Oshimili South","20,800,000",Local Used,103834 km,Automatic
Toyota Corolla 2010 Black,"Rivers State, Port-Harcourt","9,360,000",Local Used,211277 km,Automatic
Land Rover Discovery 2005 Gold,"Lagos State, Ikeja","8,400,000",Local Used,198518 km,Automatic
Toyota Camry 2010 Gray,"Lagos State, Isolo","11,440,000",Foreign Used,272660 km,Automatic
Toyota Avalon 2006 Green,"Lagos State, Ojodu","4,725,000",Local Used,163728 km,Automatic
Toyota Camry 2004 Red,"Lagos State, Ojodu","5,200,000",Local Used,450134 km,Automatic
Lexus RX 2000 White,"Ondo State, Akure","3,150,000",Local Used,224734 km,Automatic
Hyundai Santa Fe 2.7 V6 2009 Brown,"Akwa Ibom State, Uyo","8,925,000",Local Used,118716 km,Manual
Ford Fiesta S Sedan 2012 White,"Akwa Ibom State, Uyo","7,350,000",Foreign Used,210543 km,Automatic
Lexus ES 350 2012 Brown,"Akwa Ibom State, Uyo","13,520,000",Local Used,167951 km,Automatic
Lexus GS 2004 Silver,"Lagos State, Mushin","4,200,000",Local Used,446870 km,Automatic
Toyota Corolla 2004 Black,"Lagos State, Abule Egba","6,240,000",Local Used,221769 km,Automatic
Toyota Avalon 2006 Blue,"Lagos State, Abule Egba","6,032,000",Local Used,156312 km,Automatic
Jeep Renegade 2015 Silver,"Lagos State, Yaba","5,250,000",Local Used,131108 km,Automatic
Toyota Venza 2009 Gray,"Lagos State, Kosofe","18,720,000",Foreign Used,97381 km,Automatic
Honda CR-V 2000 Red,"Rivers State, Port-Harcourt","2,704,000",Local Used,279174 km,Automatic
Honda CR-V 2013 Gray,"Abuja (FCT), Gudu","13,520,000",Local Used,346630 km,Automatic
Honda Accord 2010 Red,"Abuja (FCT), Asokoro","4,819,500",Local Used,263415 km,Automatic
Lexus RX 350 2011 Black,"Lagos State, Ikeja","26,000,000",Foreign Used,95357 km,Automatic
Toyota Camry 2007 Silver,"Imo State, Owerri","6,760,000",Local Used,431822 km,Automatic
Toyota Camry 2013 White,"Lagos State, Ikorodu","14,560,000",Foreign Used,121412 km,Automatic
Ford Edge 2008 Red,"Lagos State, Amuwo-Odofin","6,240,000",Local Used,1949865 km,Automatic
Mercedes-Benz GLC-Class 2016 Red,"Lagos State, Lekki","39,520,000",Foreign Used,179484 km,Automatic
Hyundai Elantra 2014 Red,"Lagos State, Lekki","5,250,000",Local Used,189803 km,Automatic
Toyota Highlander 2010 Black,"Lagos State, Magodo","9,450,000",Local Used,291251 km,Automatic
Ford Edge 2008 Gold,"Lagos State, Ikeja","6,240,000",Local Used,270021 km,Automatic
Honda Accord 2003 Gray,"Lagos State, Ikorodu","2,625,000",Local Used,244493 km,Automatic
Toyota Yaris 2007 Silver,"Oyo State, Ibadan","4,147,500",Local Used,146241 km,Automatic
Toyota Sienna 2003 Silver,"Abuja (FCT), Jabi","2,835,000",Local Used,86096 km,Automatic
Lexus ES 1993 Blue,"Abia State, Aba North","3,675,000",Local Used,Automatic,Automatic
Mercedes-Benz GL-Class 2007 Black,"Lagos State, Ikeja","14,560,000",Local Used,266122 km,Automatic
Mercedes-Benz CLA-Class 2015 Black,"Lagos State, Ikeja","17,680,000",Local Used,56804 km,Automatic
Toyota Camry 2009 Black,"Oyo State, Ibadan","7,280,000",Local Used,127865 km,Automatic
Nissan Frontier 2006 Blue,"Oyo State, Ibadan","6,090,000",Local Used,70617 km,Automatic
Toyota Corolla 2009 Blue,"Imo State, Owerri","3,175,000",Local Used,172122 km,Manual
Toyota Corolla 2003 Gold,"Rivers State, Port-Harcourt","5,200,000",Local Used,132762 km,Automatic
Ford Explorer 2005 Silver,"Lagos State, Ojodu","6,300,000",Foreign Used,320371 km,Automatic
Lexus RX 400h 2006 Silver,"Lagos State, Ojodu","8,400,000",Local Used,251766 km,Automatic
Nissan Sentra 2013 Black,"Lagos State, Yaba","5,250,000",Local Used,98432 km,CVT
Toyota Corolla 2006 White,"Lagos State, Yaba","6,240,000",Local Used,188355 km,Automatic
Toyota Camry 2008 Black,"Abuja (FCT), Gudu","7,800,000",Local Used,91396 km,Automatic
Lexus RX 350 2010 Silver,"Abuja (FCT), Gwarinpa","18,720,000",Local Used,341735 km,Automatic
Toyota Camry 2006 Gold,"Ondo State, Akure","4,695,000",Local Used,215025 km,Automatic
Honda Accord 2003 Black,"Abuja (FCT), Jabi","2,205,000",Local Used,9999999 km,Automatic
Dodge Charger 2021 Black,"Lagos State, Alimosho","50,400,000",Foreign Used,88571 km,Automatic
Kia Sorento 2012 Silver,"Lagos State, Alimosho","10,500,000",Foreign Used,260880 km,Automatic
Honda Ridgeline 2008 Black,"Lagos State, Lekki","5,355,000",Local Used,333130 km,Automatic
Honda CR-V 2007 Blue,"Rivers State, Port-Harcourt","5,670,000",Foreign Used,168825 km,Automatic
Toyota Camry 2008 Green,"Lagos State, Ikotun/Igando","6,968,000",Local Used,169951 km,Automatic
Mercedes-Benz C300 2015 Black,"Ondo State, Akure","29,120,000",Foreign Used,165201 km,Automatic
Toyota Sequoia 2003 Gray,"Abuja (FCT), Wuse","6,760,000",Local Used,230368 km,Automatic
Mercedes-Benz GLE-Class 2016 Black,"Lagos State, Lekki","47,840,000",Foreign Used,88038 km,Automatic
Toyota Venza 2015 Blue,"Lagos State, Lekki","30,680,000",Foreign Used,116594 km,Automatic
Mercedes-Benz GLK-Class 350 4MATIC 2011 Red,"Lagos State, Lekki","13,000,000",Local Used,227644 km,Automatic
Audi Q7 2008 Black,"Rivers State, Port-Harcourt","3,685,498",Local Used,163569 km,Automatic
Toyota Highlander 2008 Gray,"Rivers State, Port-Harcourt","8,820,000",Local Used,76240 km,Automatic
Toyota Corolla 2014 Gray,"Lagos State, Ikeja","15,600,000",Foreign Used,154438 km,Automatic
Toyota Camry 2007 Blue,"Abuja (FCT), Gwarinpa","7,280,000",Local Used,274917 km,Automatic
Volkswagen Routan 2009 White,"Lagos State, Ilupeju","7,350,000",Foreign Used,147037 km,Automatic
Ford Escape Limited 2006 Gray,"Rivers State, Port-Harcourt","3,360,000",Local Used,25326 km,Automatic
Lexus RX 330 2004 Black,"Imo State, Owerri","7,875,000",Local Used,249401 km,Automatic
Toyota Corolla 2005 Black,"Lagos State, Surulere","3,885,000",Local Used,398001 km,Automatic
Toyota Corolla 2011 Silver,"Rivers State, Port-Harcourt","6,300,000",Local Used,102400 km,Automatic
Mercedes-Benz G-Class 2002 Black,"Abuja (FCT), Central Business District","26,250,000",Local Used,999999 km,Automatic
Lexus LX 2014 Black,"Abuja (FCT), Central Business District","33,600,000",Local Used,244753 km,Automatic
Hyundai Tucson 2007 Blue,"Delta State, Oshimili South","3,832,500",Local Used,124920 km,Automatic
Volvo XC90 2011 Silver,"Lagos State, Ajah","7,350,000",Local Used,216869 km,Automatic
Lexus RX 300 1999 Silver,"Lagos State, Alimosho","3,570,000",Local Used,226064 km,Automatic
Toyota RAV4 2013 White,"Lagos State, Ikoyi","13,650,000",Local Used,132983 km,Automatic
Mercedes-Benz M Class 2008 Gray,"Lagos State, Lekki","10,400,000",Local Used,160108 km,Automatic
Mercedes-Benz CLA-Class 2014 White,"Lagos State, Alimosho","14,700,000",Local Used,81445 km,Automatic
Hyundai Tucson 2006 Silver,"Lagos State, Surulere","4,725,000",Local Used,484271 km,Automatic
Toyota Sienna 2004 Gold,"Lagos State, Amuwo-Odofin","4,281,373",Local Used,221404 km,Automatic
Mercedes-Benz GLE-Class 2020 Black,"Lagos State, Ilupeju","84,000,000",Local Used,55977 km,Automatic
Toyota Corolla 2009 Silver,"Rivers State, Port-Harcourt","6,825,000",Local Used,166087 km,Automatic
Lexus GS 300 2003 Red,"Lagos State, Ikorodu","3,150,000",Local Used,234841 km,Automatic
Toyota Camry 2004 Blue,"Lagos State, Ikorodu","3,465,000",Local Used,498922 km,Automatic
Toyota Sienna 2013 Gray,"Lagos State, Magodo","11,550,000",Local Used,91391 km,Automatic
Ford Edge 2007 Red,"Rivers State, Port-Harcourt","4,200,000",Local Used,204230 km,Automatic
Toyota Avalon 2000 Black,"Oyo State, Ibadan","3,675,000",Local Used,225734 km,Automatic
Nissan Sentra 2014 Burgandy,"Lagos State, Surulere","6,510,000",Local Used,93991 km,Automatic
Toyota Corolla 2009 Black,"Edo State, Benin City","7,592,000",Local Used,111971 km,Automatic
Mercedes-Benz E350 2010 Black,"Lagos State, Yaba","10,185,000",Local Used,140601 km,Automatic
Toyota Venza 2015 Green,"Lagos State, Ikeja","20,527,500",Foreign Used,232420 km,Automatic
Lexus LS 2007 Black,"Lagos State, Alimosho","5,775,000",Local Used,116014 km,Automatic
Lexus RX 330 2005 Blue,"Lagos State, Ikotun/Igando","9,360,000",Local Used,197364 km,Automatic
Toyota Camry 2002 Gold,"Oyo State, Ibadan","5,720,000",Local Used,15533 km,Automatic
Honda Civic 2001 Silver,"Oyo State, Ibadan","2,625,000",Local Used,108771 km,Manual
Subaru Forester 2006 Gray,"Oyo State, Ibadan","3,360,000",Local Used,256603 km,Automatic
Toyota Corolla S 2008 Blue,"Lagos State, Ajah","5,979,750",Local Used,314204 km,Automatic
Pontiac Vibe 2009 Blue,"Abuja (FCT), Kubwa","6,090,000",Local Used,175289 km,Automatic
Land Rover Range Rover Evoque Pure Plus AWD 2013 Black,"Akwa Ibom State, Uyo","19,760,000",Local Used,92936 km,Automatic
Audi A6 2008 Blue,"Lagos State, Alimosho","6,510,000",Local Used,547573 km,Automatic
Nissan Sentra 2014 Black,"Lagos State, Alimosho","9,450,000",Foreign Used,174446 km,Automatic
Kia Rio 2008 Black,"Lagos State, Isolo","2,940,000",Local Used,227564 km,Automatic
Toyota Corolla 2011 Black,"Oyo State, Ibadan","8,320,000",Local Used,120676 km,Automatic
Mercedes-Benz GL-Class 2010 Black,"Abuja (FCT), Garki 2","8,925,000",Local Used,200533 km,Automatic
Toyota Corolla 2003 Gray,"Lagos State, Abule Egba","5,200,000",Local Used,125017 km,Automatic
Honda Accord 2005 Gray,"Oyo State, Ibadan","3,640,000",Local Used,210252 km,Automatic
Toyota Sienna 2002 Blue,"Oyo State, Ibadan","3,150,000",Local Used,210450 km,Automatic
Toyota Venza 2013 Black,"Abia State, Aba North","16,640,000",Local Used,64558 km,Automatic
Nissan Pathfinder 2008 Black,"Abuja (FCT), Garki 2","5,460,000",Local Used,208245 km,Automatic
Toyota Corolla 2014 Gray,"Abuja (FCT), Garki 2","13,699,875",Foreign Used,201400 km,Automatic
Honda Odyssey 1999 Brown,"Delta State, Oshimili South","2,100,000",Local Used,301102 km,Automatic
Toyota Venza 2009 Black,"Lagos State, Surulere","16,065,000",Foreign Used,153486 km,Automatic
BMW Z4 3.0i 2003 Gray,"Ondo State, Akure","18,900,000",Foreign Used,322482 km,Automatic
Peugeot RC 2011 Silver,"Lagos State, Ogudu","13,650,000",Foreign Used,97409 km,Manual
Lexus LX 2018 Black,"Lagos State, Ikoyi","105,000,000",Foreign Used,38965 km,Automatic
Hyundai Sonata 2011 Black,"Lagos State, Ikorodu","6,300,000",Local Used,190026 km,Automatic
Hyundai Elantra 2002 Gold,"Oyo State, Ibadan","2,625,000",Local Used,178434 km,Automatic
Hyundai Elantra 2008 Black,"Ogun State, Abeokuta North","3,360,000",Local Used,243151 km,Automatic
Lexus RX 300 2000 Gold,"Enugu State, Enugu","4,992,000",Local Used,133176 km,Automatic
Lexus ES 2019 Blue,"Abuja (FCT), Central Business District","70,720,000",Foreign Used,64698 km,Automatic
Toyota Highlander 2015 Gray,"Abuja (FCT), Garki 2","31,200,000",Foreign Used,131603 km,Automatic
Toyota Sienna 2000 Beige,"Lagos State, Lekki","4,680,000",Local Used,359891 km,Automatic
Toyota Camry 2006 Red,"Imo State, Owerri","4,410,000",Local Used,397946 km,Automatic
Mercedes-Benz GLE-Class 2020 Black,"Abuja (FCT), Jabi","94,500,000",Foreign Used,96714 km,Automatic
Toyota Corolla 2003 Silver,"Oyo State, Ibadan","4,700,000",Local Used,136333 km,Automatic
Toyota Venza 2014 Blue,"Lagos State, Amuwo-Odofin","26,000,000",Foreign Used,278622 km,Automatic
Peugeot 406 2007 Blue,"Abuja (FCT), Gwarinpa","2,940,000",Local Used,999999 km,Manual
Toyota Corolla 2009 Gray,"Lagos State, Kosofe","5,775,000",Local Used,141071 km,Automatic
Ford Edge 2014 White,"Lagos State, Lekki","8,528,000",Local Used,223021 km,Automatic
Lexus ES 2013 Silver,"Lagos State, Lekki","23,400,000",Foreign Used,111792 km,Automatic
Toyota Yaris Sedan Automatic 2007 Gray,"Lagos State, Ojodu","4,567,500",Local Used,262087 km,Automatic
Honda CR-V 2016 Gray,"Lagos State, Alimosho","16,275,000",Local Used,52771 km,Automatic
Hyundai Tucson 2012 Black,"Abuja (FCT), Jabi","12,915,000",Foreign Used,142914 km,Automatic
Toyota Corolla 2010 White,"Abuja (FCT), Gwarinpa","9,256,008",Local Used,91697 km,Automatic
Honda Odyssey 2013 Black,"Lagos State, Lekki","12,600,000",Local Used,51436 km,Automatic
Kia Picanto 2014 Black,"Kaduna State, Kaduna / Kaduna State","4,725,000",Local Used,108015 km,Automatic
Lexus RX 300 1999 Gold,"Lagos State, Abule Egba","4,160,000",Local Used,116075 km,Automatic
MG MGB 2010 Silver,"Lagos State, Yaba","5,250,000",Local Used,57602 km,Automatic
Toyota Camry 2008 Silver,"Lagos State, Ikeja","8,112,000",Local Used,128060 km,Automatic
Toyota Land Cruiser Prado 2015 White,"Lagos State, Lekki","30,500,000",Local Used,156515 km,Automatic
Toyota Corolla 2005 White,"Lagos State, Ajah","4,725,000",Local Used,379527 km,Automatic
Toyota Corolla 2012 Gray,"Kaduna State, Kaduna / Kaduna State","8,840,000",Local Used,273432 km,Automatic
Honda Accord 2006 Black,"Abuja (FCT), Gwarinpa","2,940,000",Local Used,371385 km,Automatic
Toyota Sienna 2005 Gold,"Abuja (FCT), Kubwa","6,240,000",Local Used,104759 km,Automatic
Mercedes-Benz C300 2009 Black,"Lagos State, Alimosho","6,825,000",Local Used,71351 km,Automatic
Honda Pilot 2005 Gold,"Lagos State, Surulere","2,730,000",Local Used,403871 km,Automatic
Nissan Primera 2001 Blue,"Lagos State, Yaba","1,575,000",Local Used,264525 km,Manual
Toyota Camry 2008 Gray,"Enugu State, Enugu","7,280,000",Local Used,214912 km,Automatic
Toyota Camry 2017 Blue,"Abuja (FCT), Gudu","19,760,000",Foreign Used,238737 km,Automatic
Toyota Highlander 2004 White,"Abuja (FCT), Lugbe District","7,280,000",Local Used,317522 km,Automatic
Toyota Sienna 2004 Silver,"Lagos State, Kosofe","5,775,000",Local Used,238391 km,Automatic
Toyota Camry 2015 Silver,"Lagos State, Lekki","15,600,000",Local Used,79241 km,Automatic
Jeep Liberty 2004 Black,"Lagos State, Isolo","4,200,000",Local Used,236885 km,Automatic
Toyota Corolla 2008 Gray,"Abuja (FCT), Gwagwalada","6,825,000",Local Used,411220 km,Automatic
Toyota Camry 2.4 XLi 2005 Green,"Lagos State, Ikorodu","6,240,000",Local Used,304672 km,Automatic
Toyota Corolla 2015 Green,"Abuja (FCT), Garki 2","15,600,000",Foreign Used,281666 km,Automatic
Toyota Sienna LE FWD (3.3L V6 5A) 2004 Blue,"Lagos State, Ojodu","6,760,000",Local Used,155719 km,Automatic
Toyota Corolla 2010 Black,"Enugu State, Enugu","11,232,000",Local Used,96990 km,Automatic
Mercedes-Benz E350 2014 Silver,"Lagos State, Amuwo-Odofin","25,584,000",Foreign Used,216947 km,Automatic
Lexus RX 350 2010 Black,"Abuja (FCT), Gwarinpa","17,325,000",Local Used,190532 km,Automatic
Toyota Tundra 2006 Black,"Lagos State, Ikotun/Igando","9,450,000",Local Used,139664 km,Automatic
Mercedes-Benz G-Class 2002 Black,"Lagos State, Lekki","18,375,000",Local Used,Automatic,Automatic
Land Rover Lr3 2005 Blue,"Lagos State, Surulere","6,510,000",Local Used,310441 km,Automatic
Hyundai Santa Fe 2015 White,"Rivers State, Port-Harcourt","19,950,000",Foreign Used,165084 km,Automatic
Toyota Highlander 2008 Silver,"Abuja (FCT), Wuse","10,500,000",Local Used,214457 km,Automatic
Toyota Corolla 2011 Red,"Abuja (FCT), Asokoro","6,720,000",Local Used,262278 km,Automatic
Toyota Corolla 1998 Gray,"Lagos State, Kosofe","2,310,000",Local Used,351676 km,Automatic
Honda CR-V 2010 Black,"Lagos State, Ogba","5,775,000",Local Used,69080 km,Automatic
Lexus RX 330 2005 Gray,"Lagos State, Surulere","13,000,000",Foreign Used,188027 km,Automatic
Toyota Aygo 2015 Black,"Lagos State, Abule Egba","6,615,000",Local Used,30097 km,Manual
Nissan Rogue 2011 Blue,"Lagos State, Ogudu","7,350,000",Local Used,122308 km,Automatic
Toyota Camry 2002 Silver,"Akwa Ibom State, Uyo","4,680,000",Local Used,282699 km,Automatic
Toyota Camry 2002 Black,"Rivers State, Port-Harcourt","3,120,000",Local Used,92538 km,Automatic
Toyota Sienna 2004 Silver,"Lagos State, Ogudu","4,788,000",Local Used,214474 km,Automatic
Volkswagen Golf 1994 Black,"Oyo State, Ibadan","2,205,000",Local Used,52327 km,Manual
Kia Optima 2010 Gray,"Abuja (FCT), Kubwa","3,255,000",Local Used,215854 km,Manual
Ford Edge 2015 Silver,"Lagos State, Ikeja","20,800,000",Local Used,63312 km,Automatic
Mercedes-Benz C300 2008 Black,"Lagos State, Abule Egba","12,480,000",Foreign Used,306078 km,Automatic
Ford F-150 2013 Black,"Lagos State, Lekki","11,340,000",Local Used,95116 km,Automatic
Honda Crosstour 3.5 FWD 2010 Red,"Akwa Ibom State, Uyo","6,300,000",Local Used,64599 km,Automatic
Nissan Altima 2.5 SL 2005 Black,"Lagos State, Lekki","2,814,000",Local Used,121744 km,Automatic
Toyota Corolla 2007 Gray,"Ogun State, Abeokuta North","7,350,000",Foreign Used,385414 km,Automatic
Toyota 4-Runner 2013 Black,"Lagos State, Lekki","52,500,000",Local Used,108028 km,Automatic
Toyota Camry 2003 Gray,"Oyo State, Ibadan","4,576,000",Local Used,131608 km,Automatic
BMW 528i 2016 Black,"Lagos State, Amuwo-Odofin","19,950,000",Local Used,255959 km,Automatic
Lexus RX 350 2008 Black,"Edo State, Benin City","8,925,000",Local Used,189478 km,Automatic
Toyota Corolla 2005 Blue,"Abuja (FCT), Lugbe District","7,875,000",Foreign Used,1398397 km,Automatic
Toyota 4-Runner 1997 Green,"Delta State, Oshimili South","3,727,500",Local Used,191745 km,Automatic
Mercedes-Benz GLA 250 2021 Gray,"Abuja (FCT), Asokoro","67,600,000",Foreign Used,34689 km,Automatic
Nissan Pathfinder 2005 Brown,"Lagos State, Ogba","3,150,000",Local Used,98519 km,Automatic
Mercedes-Benz GLE-Class 2020 White,"Lagos State, Lekki","94,500,000",Foreign Used,109001 km,Automatic
Peugeot 301 2013 Gray,"Abuja (FCT), Garki 2","4,725,000",Local Used,198042 km,Automatic
Peugeot 408 2011 Black,"Abuja (FCT), Lugbe District","3,675,000",Foreign Used,732232 km,Automatic
Mercedes-Benz GLA 250 2015 White,"Abuja (FCT), Garki 2","20,215,125",Local Used,116687 km,Automatic
Hyundai Elantra 2021 White,"Abuja (FCT), Garki 2","36,750,000",Foreign Used,74403 km,Automatic
Volkswagen Sharan 1999 Blue,"Lagos State, Surulere","3,150,000",Local Used,295551 km,Manual
Acura ZDX 2010 Black,"Abuja (FCT), Gudu","9,030,000",Local Used,92229 km,Automatic
Volvo S60 2004 Green,"Abuja (FCT), Kubwa","2,100,000",Local Used,274395 km,Automatic
Lexus LS 2011 Black,"Lagos State, Isolo","10,500,000",Local Used,62256 km,Automatic
Mercedes-Benz GLE-Class 2016 White,"Lagos State, Lekki","33,280,000",Local Used,116861 km,Automatic
Toyota Sienna 2008 White,"Lagos State, Ogudu","12,480,000",Foreign Used,199139 km,Automatic
Honda Stream 2001 White,"Abuja (FCT), Gwarinpa","2,415,000",Local Used,261864 km,Automatic
Hyundai Santa Fe 2003 Black,"Abuja (FCT), Central Business District","4,410,000",Local Used,194714 km,Automatic
Toyota Venza 2013 Black,"Lagos State, Magodo","13,545,000",Local Used,182669 km,Automatic
Lexus RX 350 2007 Gray,"Lagos State, Magodo","7,476,000",Local Used,178015 km,Automatic
Mercedes-Benz E350 2010 Blue,"Abuja (FCT), Lugbe District","10,500,000",Local Used,118754 km,Automatic
Mercedes-Benz C300 2009 Black,"Abuja (FCT), Lugbe District","8,840,000",Local Used,317868 km,Automatic
Honda Accord 2000 Red,"Lagos State, Yaba","3,120,000",Local Used,482800 km,Automatic
Land Rover Lr3 SE 2005 Black,"Rivers State, Port-Harcourt","5,250,000",Local Used,200333 km,Automatic
BMW X3 2005 Silver,"Abuja (FCT), Kubwa","5,250,000",Local Used,252079 km,Automatic
Volkswagen Passat 1999 Silver,"Rivers State, Port-Harcourt","2,100,000",Local Used,170885 km,Manual
Toyota Highlander 2004 Black,"Lagos State, Isolo","4,620,000",Local Used,199003 km,Automatic
Toyota Venza V6 2010 Silver,"Lagos State, Lekki","18,500,625",Foreign Used,217038 km,Automatic
Mercedes-Benz C-Class 2005 Black,"Lagos State, Ilupeju","6,300,000",Local Used,Automatic,Automatic
Toyota Corolla 2015 Silver,"Lagos State, Isolo","14,700,000",Foreign Used,126100 km,Automatic
Mercedes-Benz E350 2015 White,"Abuja (FCT), Asokoro","23,920,000",Foreign Used,288024 km,Automatic
Toyota Sienna XLE FWD 2019 Red,"Lagos State, Lekki","33,600,000",Foreign Used,7579 km,Automatic
Honda CR-V 1999 Blue,"Lagos State, Amuwo-Odofin","2,808,000",Local Used,234641 km,Automatic
Toyota Avalon 2005 Silver,"Ogun State, Abeokuta North","3,990,000",Local Used,268674 km,Automatic
Honda Pilot 2008 Black,"Abuja (FCT), Gwarinpa","3,564,750",Local Used,125162 km,Automatic
Nissan Xterra Automatic 2003 Red,"Lagos State, Ikorodu","3,255,000",Local Used,154231 km,Automatic
Mercedes-Benz GLE-Class 2017 Black,"Lagos State, Ikeja","49,400,000",Foreign Used,128560 km,Automatic
Lexus RX 300 2001 Black,"Lagos State, Kosofe","5,200,000",Local Used,222035 km,Automatic
Toyota Camry 2008 Black,"Enugu State, Enugu","7,072,000",Local Used,164651 km,Automatic
Honda CR-V 2006 Gold,"Rivers State, Port-Harcourt","3,297,000",Local Used,147964 km,Automatic
Honda Accord 2014 White,"Oyo State, Ibadan","15,600,000",Foreign Used,219024 km,Automatic
Pontiac Vibe 2009 Blue,"Oyo State, Ibadan","9,360,000",Local Used,132014 km,Automatic
Toyota Corolla 2016 Black,"Lagos State, Ojodu","9,450,000",Local Used,166130 km,Automatic
Ford Edge 2008 Gray,"Lagos State, Yaba","4,284,000",Local Used,303848 km,Automatic
Toyota Sienna 1999 Green,"Lagos State, Abule Egba","3,120,000",Local Used,265013 km,Automatic
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2008 Silver,"Lagos State, Lekki","6,090,000",Local Used,178994 km,Automatic
Toyota Corolla 2008 Black,"Lagos State, Ogudu","5,460,000",Local Used,203885 km,Automatic
Toyota Sienna 2011 Red,"Lagos State, Alimosho","14,280,000",Foreign Used,174249 km,Automatic
Mercedes-Benz M Class 2002 Black,"Oyo State, Ibadan","3,675,000",Local Used,294230 km,Automatic
Mercedes-Benz GLE-Class 2017 White,"Lagos State, Yaba","52,000,000",Foreign Used,125153 km,Automatic
Honda Accord 2006 Black,"Abuja (FCT), Kubwa","3,640,000",Local Used,259001 km,Automatic
Opel Zafira 2003 Red,"Ogun State, Abeokuta North","2,100,000",Local Used,Manual,Manual
Toyota Camry 2013 Black,"Lagos State, Alimosho","13,125,000",Foreign Used,179031 km,Automatic
Mercedes-Benz GLK-Class 2013 Red,"Abuja (FCT), Wuse","15,750,000",Local Used,256894 km,Automatic
Toyota RAV4 2008 Silver,"Lagos State, Amuwo-Odofin","8,840,000",Local Used,203122 km,Automatic
Toyota Camry 2001 Gold,"Abuja (FCT), Central Business District","2,600,000",Local Used,325453 km,Automatic
Toyota Venza 2014 Red,"Edo State, Benin City","13,125,000",Local Used,102682 km,Automatic
Nissan Altima 2010 Blue,"Lagos State, Ikorodu","3,675,000",Local Used,123451 km,Automatic
Toyota RAV4 2011 Blue,"Lagos State, Lekki","10,712,000",Local Used,122986 km,Automatic
Toyota Sienna 2005 Gold,"Oyo State, Ibadan","5,250,000",Local Used,199207 km,Automatic
Nissan Rogue 2010 Gray,"Oyo State, Ibadan","6,615,000",Local Used,219508 km,Automatic
Lexus RX 330 2004 Silver,"Lagos State, Ikoyi","8,925,000",Foreign Used,135019 km,Automatic
Toyota Corolla 2009 Black,"Lagos State, Alimosho","2,362,500",Local Used,213974 km,Manual
Lexus ES 2007 Gray,"Lagos State, Abule Egba","8,400,000",Local Used,240032 km,Automatic
BMW 328i 2012 Silver,"Rivers State, Port-Harcourt","12,075,000",Local Used,275836 km,CVT
BMW 323i 2006 Black,"Abuja (FCT), Gwarinpa","6,825,000",Local Used,197446 km,Manual
Kia Sorento 2014 Silver,"Lagos State, Mushin","10,500,000",Local Used,73746 km,Automatic
