CAR NAME,LOCATION,PRICE IN NAIRA,USE HISTORY,MILAGE,TRANSMISSION
Honda Accord 2003 Blue,"Oyo State, Ibadan","5,200,000",Local Used,411172 km,Automatic
Toyota Camry 1998 Gold,"Abuja (FCT), Karu","2,912,000",Local Used,235421 km,Automatic
Toyota Land Cruiser Prado 2021 Black,"Lagos State, Lekki","78,000,000",Local Used,4365 km,Automatic
Mercedes-Benz E350 2010 Gray,"Abuja (FCT), Garki 2","13,520,000",Local Used,268214 km,Automatic
Toyota Camry 2001 Gold,"Rivers State, Port-Harcourt","3,640,000",Local Used,141989 km,Automatic
Infiniti FX35 2008 Blue,"Lagos State, Alimosho","4,200,000",Local Used,456679 km,Automatic
Lexus RX 350 2015 Brown,"Lagos State, Alimosho","24,990,000",Foreign Used,309702 km,Automatic
Honda City 2012 Gray,"Rivers State, Port-Harcourt","2,625,000",Local Used,281437 km,Automatic
Toyota Corolla 2010 Silver,"Lagos State, Ogba","10,500,000",Foreign Used,244609 km,Automatic
Toyota Corolla 2005 Red,"Lagos State, Surulere","3,822,000",Local Used,407510 km,Automatic
Mercedes-Benz GLA-Class 2015 Black,"Rivers State, Port-Harcourt","19,125,000",Local Used,222766 km,Automatic
Ford Edge 2013 Silver,"Lagos State, Abule Egba","6,100,237",Local Used,161962 km,Automatic
Toyota Fortuner 2013 Black,"Abuja (FCT), Wuse","14,700,000",Local Used,85233 km,Automatic
Nissan Almera 2013 Silver,"Lagos State, Surulere","6,300,000",Local Used,110418 km,Automatic
Honda Accord Crosstour 2012 Black,"Abuja (FCT), Jabi","8,840,000",Local Used,123069 km,Automatic
Toyota Camry 2018 Gray,"Abuja (FCT), Jabi","26,000,000",Local Used,108353 km,Automatic
Toyota RAV4 2002 Silver,"Lagos State, Abule Egba","4,680,000",Local Used,101575 km,Automatic
Lexus ES 2008 Gold,"Lagos State, Abule Egba","9,880,000",Local Used,95055 km,Automatic
Mazda 323 1998 Red,"Oyo State, Ibadan","4,935,000",Foreign Used,144787 km,Automatic
Dodge RAM 2013 Blue,"Oyo State, Ibadan","19,950,000",Foreign Used,303611 km,Automatic
Hyundai Sonata 2015 Gray,"Oyo State, Ibadan","15,750,000",Foreign Used,156942 km,Automatic
Toyota Carina 1992 Gray,"Abuja (FCT), Karu","2,625,000",Local Used,345213 km,Automatic
Nissan Pathfinder 2002 Black,"Lagos State, Yaba","2,520,000",Local Used,382215 km,Automatic
Toyota Camry 2002 Green,"Lagos State, Ikorodu","3,224,000",Local Used,181535 km,Automatic
Toyota 4-Runner 2003 Gray,"Abuja (FCT), Garki 2","8,840,000",Local Used,196692 km,Automatic
Toyota RAV4 2008 Black,"Lagos State, Ojodu","4,620,000",Local Used,198384 km,Automatic
Lexus RX 350 2009 Black,"Lagos State, Surulere","12,495,000",Foreign Used,364270 km,Automatic
Acura MDX 2008 Gray,"Abuja (FCT), Kubwa","5,586,000",Local Used,106889 km,Automatic
Toyota Camry 1999 Gold,"Abuja (FCT), Garki 2","2,058,000",Local Used,197214 km,Automatic
Toyota Camry 2009 Silver,"Abuja (FCT), Gudu","7,280,000",Local Used,203316 km,Automatic
Toyota Sienna 2008 Gray,"Abuja (FCT), Gudu","6,760,000",Local Used,167005 km,Automatic
