LOCATION,CAR NAME,PRICE IN NAIRA,USE HISTORY,MILAGE,TRANSMISSION
"Lagos State, Isolo",Nissan Pathfinder 2005 Gray,"4,888,000",Local Used,196778 km,Automatic
"Lagos State, Lekki",Toyota Hilux 2020 White,"64,480,000",Local Used,37217 km,Automatic
"Lagos State, Lekki",Mercedes-Benz E350 2011 Red,"18,720,000",Foreign Used,170158 km,Automatic
"Lagos State, Abule Egba",Nissan Frontier 2005 Black,"5,460,000",Local Used,119233 km,Automatic
"Akwa Ibom State, Uyo",Honda Crosstour 3.5 AWD 2012 Blue,"8,840,000",Local Used,225185 km,Automatic
"Abuja (FCT), Gwarinpa",Honda Accord 2013 Black,"9,975,000",Local Used,91624 km,Automatic
"Rivers State, Port-Harcourt",Toyota Corolla 2010 Black,"7,800,000",Local Used,163838 km,Automatic
"Abia State, Aba North",Ford Focus 2005 Silver,"3,150,000",Local Used,130142 km,Automatic
"Lagos State, Kosofe",Lexus RX 400h 2006 Silver,"5,565,000",Local Used,181720 km,Automatic
"Abuja (FCT), Lugbe District",Mercedes-Benz M Class ML 350 4Matic 2007 White,"9,360,000",Local Used,169090 km,Automatic
"Abuja (FCT), Lugbe District",Mercedes-Benz C230 2005 Black,"4,368,000",Local Used,345209 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Avensis 1.8 Sedan Automatic 2003 Gray,"4,680,000",Local Used,293662 km,Automatic
"Abuja (FCT), Karu",Toyota Camry 2015 Blue,"17,472,000",Foreign Used,121281 km,Automatic
"Rivers State, Port-Harcourt",Honda CR-V 2007 Blue,"4,674,600",Local Used,213315 km,Automatic
"Lagos State, Ikorodu",Toyota Avensis Verso 2004 Gray,"3,675,000",Local Used,195683 km,Automatic
"Lagos State, Ikeja",Lexus RX 400h 2006 Blue,"7,140,000",Local Used,316344 km,Automatic
"Rivers State, Port-Harcourt",Honda Accord Sedan SE V-6 Automatic 2007 Gray,"3,150,000",Local Used,142947 km,Automatic
"Abuja (FCT), Kubwa",Toyota Corolla 2005 Gray,"4,200,000",Local Used,320466 km,Automatic
"Lagos State, Ikeja",Lexus LX 2011 Black,"52,000,000",Local Used,10018 km,Automatic
"Oyo State, Ibadan",Nissan Almera 2013 Gray,"2,940,000",Local Used,122093 km,Manual
"Abuja (FCT), Gudu",Nissan Primera 2004 Gray,"5,040,000",Local Used,233348 km,Automatic
"Lagos State, Ikorodu",Toyota Camry 2000 Gray,"2,415,000",Local Used,290007 km,Automatic
"Rivers State, Port-Harcourt",Lexus RX 300 2000 Silver,"4,160,000",Local Used,203045 km,Automatic
"Delta State, Oshimili South",Honda Accord 2005 Black,"2,310,000",Local Used,2159850 km,Automatic
"Lagos State, Alimosho",Toyota Sienna 2011 Gray,"17,680,000",Foreign Used,288685 km,Automatic
"Oyo State, Ibadan",Honda Accord 2004 Gray,"2,808,000",Local Used,333514 km,Automatic
"Lagos State, Ilupeju",Toyota Celica 2003 Red,"5,670,000",Local Used,104584 km,Automatic
"Lagos State, Yaba",Land Rover Lr3 2006 Gray,"10,400,000",Local Used,330118 km,Automatic
"Lagos State, Ilupeju",Honda Accord 1999 Silver,"2,288,000",Local Used,106238 km,Automatic
"Edo State, Benin City",Toyota Corolla 2009 Black,"10,185,000",Foreign Used,105302 km,Automatic
"Lagos State, Kosofe",Honda Accord 2004 Gold,"3,120,000",Local Used,504864 km,Automatic
"Ondo State, Akure",Toyota Sienna 2004 Gray,"9,360,000",Local Used,431143 km,Automatic
"Lagos State, Lekki",Mitsubishi Pajero 2019 Black,"31,500,000",Local Used,69623 km,Automatic
"Enugu State, Enugu",Lexus ES 2009 White,"8,610,000",Local Used,141135 km,Automatic
"Abuja (FCT), Central Business District",Lexus GX 2007 Black,"8,400,000",Local Used,166334 km,Automatic
"Lagos State, Ilupeju",Toyota Land Cruiser 2007 Black,"19,950,000",Local Used,Automatic,Automatic
"Oyo State, Ibadan",Lexus IS 2008 Black,"9,880,000",Local Used,253247 km,Automatic
"Abuja (FCT), Kubwa",Honda Accord 2008 Black,"4,200,000",Local Used,207147 km,Automatic
"Delta State, Oshimili South",Mercedes-Benz C300 2015 White,"20,800,000",Local Used,103834 km,Automatic
"Rivers State, Port-Harcourt",Toyota Corolla 2010 Black,"9,360,000",Local Used,211277 km,Automatic
"Lagos State, Ikeja",Land Rover Discovery 2005 Gold,"8,400,000",Local Used,198518 km,Automatic
"Lagos State, Isolo",Toyota Camry 2010 Gray,"11,440,000",Foreign Used,272660 km,Automatic
"Lagos State, Ojodu",Toyota Avalon 2006 Green,"4,725,000",Local Used,163728 km,Automatic
"Lagos State, Ojodu",Toyota Camry 2004 Red,"5,200,000",Local Used,450134 km,Automatic
"Ondo State, Akure",Lexus RX 2000 White,"3,150,000",Local Used,224734 km,Automatic
"Akwa Ibom State, Uyo",Hyundai Santa Fe 2.7 V6 2009 Brown,"8,925,000",Local Used,118716 km,Manual
"Akwa Ibom State, Uyo",Ford Fiesta S Sedan 2012 White,"7,350,000",Foreign Used,210543 km,Automatic
"Akwa Ibom State, Uyo",Lexus ES 350 2012 Brown,"13,520,000",Local Used,167951 km,Automatic
"Lagos State, Mushin",Lexus GS 2004 Silver,"4,200,000",Local Used,446870 km,Automatic
"Lagos State, Abule Egba",Toyota Corolla 2004 Black,"6,240,000",Local Used,221769 km,Automatic
"Lagos State, Abule Egba",Toyota Avalon 2006 Blue,"6,032,000",Local Used,156312 km,Automatic
"Lagos State, Yaba",Jeep Renegade 2015 Silver,"5,250,000",Local Used,131108 km,Automatic
"Lagos State, Kosofe",Toyota Venza 2009 Gray,"18,720,000",Foreign Used,97381 km,Automatic
"Rivers State, Port-Harcourt",Honda CR-V 2000 Red,"2,704,000",Local Used,279174 km,Automatic
"Abuja (FCT), Gudu",Honda CR-V 2013 Gray,"13,520,000",Local Used,346630 km,Automatic
"Abuja (FCT), Asokoro",Honda Accord 2010 Red,"4,819,500",Local Used,263415 km,Automatic
"Lagos State, Ikeja",Lexus RX 350 2011 Black,"26,000,000",Foreign Used,95357 km,Automatic
"Imo State, Owerri",Toyota Camry 2007 Silver,"6,760,000",Local Used,431822 km,Automatic
"Lagos State, Ikorodu",Toyota Camry 2013 White,"14,560,000",Foreign Used,121412 km,Automatic
"Lagos State, Amuwo-Odofin",Ford Edge 2008 Red,"6,240,000",Local Used,1949865 km,Automatic
"Lagos State, Lekki",Mercedes-Benz GLC-Class 2016 Red,"39,520,000",Foreign Used,179484 km,Automatic
"Lagos State, Lekki",Hyundai Elantra 2014 Red,"5,250,000",Local Used,189803 km,Automatic
"Lagos State, Magodo",Toyota Highlander 2010 Black,"9,450,000",Local Used,291251 km,Automatic
"Lagos State, Ikeja",Ford Edge 2008 Gold,"6,240,000",Local Used,270021 km,Automatic
"Lagos State, Ikorodu",Honda Accord 2003 Gray,"2,625,000",Local Used,244493 km,Automatic
"Oyo State, Ibadan",Toyota Yaris 2007 Silver,"4,147,500",Local Used,146241 km,Automatic
"Abuja (FCT), Jabi",Toyota Sienna 2003 Silver,"2,835,000",Local Used,86096 km,Automatic
"Abia State, Aba North",Lexus ES 1993 Blue,"3,675,000",Local Used,Automatic,Automatic
"Lagos State, Ikeja",Mercedes-Benz GL-Class 2007 Black,"14,560,000",Local Used,266122 km,Automatic
"Lagos State, Ikeja",Mercedes-Benz CLA-Class 2015 Black,"17,680,000",Local Used,56804 km,Automatic
"Oyo State, Ibadan",Toyota Camry 2009 Black,"7,280,000",Local Used,127865 km,Automatic
"Oyo State, Ibadan",Nissan Frontier 2006 Blue,"6,090,000",Local Used,70617 km,Automatic
"Imo State, Owerri",Toyota Corolla 2009 Blue,"3,175,000",Local Used,172122 km,Manual
"Rivers State, Port-Harcourt",Toyota Corolla 2003 Gold,"5,200,000",Local Used,132762 km,Automatic
"Lagos State, Ojodu",Ford Explorer 2005 Silver,"6,300,000",Foreign Used,320371 km,Automatic
"Lagos State, Ojodu",Lexus RX 400h 2006 Silver,"8,400,000",Local Used,251766 km,Automatic
"Lagos State, Yaba",Nissan Sentra 2013 Black,"5,250,000",Local Used,98432 km,CVT
"Lagos State, Yaba",Toyota Corolla 2006 White,"6,240,000",Local Used,188355 km,Automatic
"Abuja (FCT), Gudu",Toyota Camry 2008 Black,"7,800,000",Local Used,91396 km,Automatic
"Abuja (FCT), Gwarinpa",Lexus RX 350 2010 Silver,"18,720,000",Local Used,341735 km,Automatic
"Ondo State, Akure",Toyota Camry 2006 Gold,"4,695,000",Local Used,215025 km,Automatic
"Abuja (FCT), Jabi",Honda Accord 2003 Black,"2,205,000",Local Used,9999999 km,Automatic
"Lagos State, Alimosho",Dodge Charger 2021 Black,"50,400,000",Foreign Used,88571 km,Automatic
"Lagos State, Alimosho",Kia Sorento 2012 Silver,"10,500,000",Foreign Used,260880 km,Automatic
"Lagos State, Lekki",Honda Ridgeline 2008 Black,"5,355,000",Local Used,333130 km,Automatic
"Rivers State, Port-Harcourt",Honda CR-V 2007 Blue,"5,670,000",Foreign Used,168825 km,Automatic
"Lagos State, Ikotun/Igando",Toyota Camry 2008 Green,"6,968,000",Local Used,169951 km,Automatic
"Ondo State, Akure",Mercedes-Benz C300 2015 Black,"29,120,000",Foreign Used,165201 km,Automatic
"Abuja (FCT), Wuse",Toyota Sequoia 2003 Gray,"6,760,000",Local Used,230368 km,Automatic
"Lagos State, Lekki",Mercedes-Benz GLE-Class 2016 Black,"47,840,000",Foreign Used,88038 km,Automatic
"Lagos State, Lekki",Toyota Venza 2015 Blue,"30,680,000",Foreign Used,116594 km,Automatic
"Lagos State, Lekki",Mercedes-Benz GLK-Class 350 4MATIC 2011 Red,"13,000,000",Local Used,227644 km,Automatic
"Rivers State, Port-Harcourt",Audi Q7 2008 Black,"3,685,498",Local Used,163569 km,Automatic
"Rivers State, Port-Harcourt",Toyota Highlander 2008 Gray,"8,820,000",Local Used,76240 km,Automatic
"Lagos State, Ikeja",Toyota Corolla 2014 Gray,"15,600,000",Foreign Used,154438 km,Automatic
"Abuja (FCT), Gwarinpa",Toyota Camry 2007 Blue,"7,280,000",Local Used,274917 km,Automatic
"Lagos State, Ilupeju",Volkswagen Routan 2009 White,"7,350,000",Foreign Used,147037 km,Automatic
"Rivers State, Port-Harcourt",Ford Escape Limited 2006 Gray,"3,360,000",Local Used,25326 km,Automatic
"Imo State, Owerri",Lexus RX 330 2004 Black,"7,875,000",Local Used,249401 km,Automatic
"Lagos State, Surulere",Toyota Corolla 2005 Black,"3,885,000",Local Used,398001 km,Automatic
"Rivers State, Port-Harcourt",Toyota Corolla 2011 Silver,"6,300,000",Local Used,102400 km,Automatic
"Abuja (FCT), Central Business District",Mercedes-Benz G-Class 2002 Black,"26,250,000",Local Used,999999 km,Automatic
"Abuja (FCT), Central Business District",Lexus LX 2014 Black,"33,600,000",Local Used,244753 km,Automatic
"Delta State, Oshimili South",Hyundai Tucson 2007 Blue,"3,832,500",Local Used,124920 km,Automatic
"Lagos State, Ajah",Volvo XC90 2011 Silver,"7,350,000",Local Used,216869 km,Automatic
"Lagos State, Alimosho",Lexus RX 300 1999 Silver,"3,570,000",Local Used,226064 km,Automatic
"Lagos State, Ikoyi",Toyota RAV4 2013 White,"13,650,000",Local Used,132983 km,Automatic
"Lagos State, Lekki",Mercedes-Benz M Class 2008 Gray,"10,400,000",Local Used,160108 km,Automatic
"Lagos State, Alimosho",Mercedes-Benz CLA-Class 2014 White,"14,700,000",Local Used,81445 km,Automatic
"Lagos State, Surulere",Hyundai Tucson 2006 Silver,"4,725,000",Local Used,484271 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Sienna 2004 Gold,"4,281,373",Local Used,221404 km,Automatic
"Lagos State, Ilupeju",Mercedes-Benz GLE-Class 2020 Black,"84,000,000",Local Used,55977 km,Automatic
"Rivers State, Port-Harcourt",Toyota Corolla 2009 Silver,"6,825,000",Local Used,166087 km,Automatic
"Lagos State, Ikorodu",Lexus GS 300 2003 Red,"3,150,000",Local Used,234841 km,Automatic
"Lagos State, Ikorodu",Toyota Camry 2004 Blue,"3,465,000",Local Used,498922 km,Automatic
"Lagos State, Magodo",Toyota Sienna 2013 Gray,"11,550,000",Local Used,91391 km,Automatic
"Rivers State, Port-Harcourt",Ford Edge 2007 Red,"4,200,000",Local Used,204230 km,Automatic
"Oyo State, Ibadan",Toyota Avalon 2000 Black,"3,675,000",Local Used,225734 km,Automatic
"Lagos State, Surulere",Nissan Sentra 2014 Burgandy,"6,510,000",Local Used,93991 km,Automatic
"Edo State, Benin City",Toyota Corolla 2009 Black,"7,592,000",Local Used,111971 km,Automatic
"Lagos State, Yaba",Mercedes-Benz E350 2010 Black,"10,185,000",Local Used,140601 km,Automatic
"Lagos State, Ikeja",Toyota Venza 2015 Green,"20,527,500",Foreign Used,232420 km,Automatic
"Lagos State, Alimosho",Lexus LS 2007 Black,"5,775,000",Local Used,116014 km,Automatic
"Lagos State, Ikotun/Igando",Lexus RX 330 2005 Blue,"9,360,000",Local Used,197364 km,Automatic
"Oyo State, Ibadan",Toyota Camry 2002 Gold,"5,720,000",Local Used,15533 km,Automatic
"Oyo State, Ibadan",Honda Civic 2001 Silver,"2,625,000",Local Used,108771 km,Manual
"Oyo State, Ibadan",Subaru Forester 2006 Gray,"3,360,000",Local Used,256603 km,Automatic
"Lagos State, Ajah",Toyota Corolla S 2008 Blue,"5,979,750",Local Used,314204 km,Automatic
"Abuja (FCT), Kubwa",Pontiac Vibe 2009 Blue,"6,090,000",Local Used,175289 km,Automatic
"Akwa Ibom State, Uyo",Land Rover Range Rover Evoque Pure Plus AWD 2013 Black,"19,760,000",Local Used,92936 km,Automatic
"Lagos State, Alimosho",Audi A6 2008 Blue,"6,510,000",Local Used,547573 km,Automatic
"Lagos State, Alimosho",Nissan Sentra 2014 Black,"9,450,000",Foreign Used,174446 km,Automatic
"Lagos State, Isolo",Kia Rio 2008 Black,"2,940,000",Local Used,227564 km,Automatic
"Oyo State, Ibadan",Toyota Corolla 2011 Black,"8,320,000",Local Used,120676 km,Automatic
"Abuja (FCT), Garki 2",Mercedes-Benz GL-Class 2010 Black,"8,925,000",Local Used,200533 km,Automatic
"Lagos State, Abule Egba",Toyota Corolla 2003 Gray,"5,200,000",Local Used,125017 km,Automatic
"Oyo State, Ibadan",Honda Accord 2005 Gray,"3,640,000",Local Used,210252 km,Automatic
"Oyo State, Ibadan",Toyota Sienna 2002 Blue,"3,150,000",Local Used,210450 km,Automatic
"Abia State, Aba North",Toyota Venza 2013 Black,"16,640,000",Local Used,64558 km,Automatic
"Abuja (FCT), Garki 2",Nissan Pathfinder 2008 Black,"5,460,000",Local Used,208245 km,Automatic
"Abuja (FCT), Garki 2",Toyota Corolla 2014 Gray,"13,699,875",Foreign Used,201400 km,Automatic
"Delta State, Oshimili South",Honda Odyssey 1999 Brown,"2,100,000",Local Used,301102 km,Automatic
"Lagos State, Surulere",Toyota Venza 2009 Black,"16,065,000",Foreign Used,153486 km,Automatic
"Ondo State, Akure",BMW Z4 3.0i 2003 Gray,"18,900,000",Foreign Used,322482 km,Automatic
"Lagos State, Ogudu",Peugeot RC 2011 Silver,"13,650,000",Foreign Used,97409 km,Manual
"Lagos State, Ikoyi",Lexus LX 2018 Black,"105,000,000",Foreign Used,38965 km,Automatic
"Lagos State, Ikorodu",Hyundai Sonata 2011 Black,"6,300,000",Local Used,190026 km,Automatic
"Oyo State, Ibadan",Hyundai Elantra 2002 Gold,"2,625,000",Local Used,178434 km,Automatic
"Ogun State, Abeokuta North",Hyundai Elantra 2008 Black,"3,360,000",Local Used,243151 km,Automatic
"Enugu State, Enugu",Lexus RX 300 2000 Gold,"4,992,000",Local Used,133176 km,Automatic
"Abuja (FCT), Central Business District",Lexus ES 2019 Blue,"70,720,000",Foreign Used,64698 km,Automatic
"Abuja (FCT), Garki 2",Toyota Highlander 2015 Gray,"31,200,000",Foreign Used,131603 km,Automatic
"Lagos State, Lekki",Toyota Sienna 2000 Beige,"4,680,000",Local Used,359891 km,Automatic
"Imo State, Owerri",Toyota Camry 2006 Red,"4,410,000",Local Used,397946 km,Automatic
"Abuja (FCT), Jabi",Mercedes-Benz GLE-Class 2020 Black,"94,500,000",Foreign Used,96714 km,Automatic
"Oyo State, Ibadan",Toyota Corolla 2003 Silver,"4,700,000",Local Used,136333 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Venza 2014 Blue,"26,000,000",Foreign Used,278622 km,Automatic
"Abuja (FCT), Gwarinpa",Peugeot 406 2007 Blue,"2,940,000",Local Used,999999 km,Manual
"Lagos State, Kosofe",Toyota Corolla 2009 Gray,"5,775,000",Local Used,141071 km,Automatic
"Lagos State, Lekki",Ford Edge 2014 White,"8,528,000",Local Used,223021 km,Automatic
"Lagos State, Lekki",Lexus ES 2013 Silver,"23,400,000",Foreign Used,111792 km,Automatic
"Lagos State, Ojodu",Toyota Yaris Sedan Automatic 2007 Gray,"4,567,500",Local Used,262087 km,Automatic
"Lagos State, Alimosho",Honda CR-V 2016 Gray,"16,275,000",Local Used,52771 km,Automatic
"Abuja (FCT), Jabi",Hyundai Tucson 2012 Black,"12,915,000",Foreign Used,142914 km,Automatic
"Abuja (FCT), Gwarinpa",Toyota Corolla 2010 White,"9,256,008",Local Used,91697 km,Automatic
"Lagos State, Lekki",Honda Odyssey 2013 Black,"12,600,000",Local Used,51436 km,Automatic
"Kaduna State, Kaduna / Kaduna State",Kia Picanto 2014 Black,"4,725,000",Local Used,108015 km,Automatic
"Lagos State, Abule Egba",Lexus RX 300 1999 Gold,"4,160,000",Local Used,116075 km,Automatic
"Lagos State, Yaba",MG MGB 2010 Silver,"5,250,000",Local Used,57602 km,Automatic
"Lagos State, Ikeja",Toyota Camry 2008 Silver,"8,112,000",Local Used,128060 km,Automatic
"Lagos State, Lekki",Toyota Land Cruiser Prado 2015 White,"30,500,000",Local Used,156515 km,Automatic
"Lagos State, Ajah",Toyota Corolla 2005 White,"4,725,000",Local Used,379527 km,Automatic
"Kaduna State, Kaduna / Kaduna State",Toyota Corolla 2012 Gray,"8,840,000",Local Used,273432 km,Automatic
"Abuja (FCT), Gwarinpa",Honda Accord 2006 Black,"2,940,000",Local Used,371385 km,Automatic
"Abuja (FCT), Kubwa",Toyota Sienna 2005 Gold,"6,240,000",Local Used,104759 km,Automatic
"Lagos State, Alimosho",Mercedes-Benz C300 2009 Black,"6,825,000",Local Used,71351 km,Automatic
"Lagos State, Surulere",Honda Pilot 2005 Gold,"2,730,000",Local Used,403871 km,Automatic
"Lagos State, Yaba",Nissan Primera 2001 Blue,"1,575,000",Local Used,264525 km,Manual
"Enugu State, Enugu",Toyota Camry 2008 Gray,"7,280,000",Local Used,214912 km,Automatic
"Abuja (FCT), Gudu",Toyota Camry 2017 Blue,"19,760,000",Foreign Used,238737 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Highlander 2004 White,"7,280,000",Local Used,317522 km,Automatic
"Lagos State, Kosofe",Toyota Sienna 2004 Silver,"5,775,000",Local Used,238391 km,Automatic
"Lagos State, Lekki",Toyota Camry 2015 Silver,"15,600,000",Local Used,79241 km,Automatic
"Lagos State, Isolo",Jeep Liberty 2004 Black,"4,200,000",Local Used,236885 km,Automatic
"Abuja (FCT), Gwagwalada",Toyota Corolla 2008 Gray,"6,825,000",Local Used,411220 km,Automatic
"Lagos State, Ikorodu",Toyota Camry 2.4 XLi 2005 Green,"6,240,000",Local Used,304672 km,Automatic
"Abuja (FCT), Garki 2",Toyota Corolla 2015 Green,"15,600,000",Foreign Used,281666 km,Automatic
"Lagos State, Ojodu",Toyota Sienna LE FWD (3.3L V6 5A) 2004 Blue,"6,760,000",Local Used,155719 km,Automatic
"Enugu State, Enugu",Toyota Corolla 2010 Black,"11,232,000",Local Used,96990 km,Automatic
"Lagos State, Amuwo-Odofin",Mercedes-Benz E350 2014 Silver,"25,584,000",Foreign Used,216947 km,Automatic
"Abuja (FCT), Gwarinpa",Lexus RX 350 2010 Black,"17,325,000",Local Used,190532 km,Automatic
"Lagos State, Ikotun/Igando",Toyota Tundra 2006 Black,"9,450,000",Local Used,139664 km,Automatic
"Lagos State, Lekki",Mercedes-Benz G-Class 2002 Black,"18,375,000",Local Used,Automatic,Automatic
"Lagos State, Surulere",Land Rover Lr3 2005 Blue,"6,510,000",Local Used,310441 km,Automatic
"Rivers State, Port-Harcourt",Hyundai Santa Fe 2015 White,"19,950,000",Foreign Used,165084 km,Automatic
"Abuja (FCT), Wuse",Toyota Highlander 2008 Silver,"10,500,000",Local Used,214457 km,Automatic
"Abuja (FCT), Asokoro",Toyota Corolla 2011 Red,"6,720,000",Local Used,262278 km,Automatic
"Lagos State, Kosofe",Toyota Corolla 1998 Gray,"2,310,000",Local Used,351676 km,Automatic
"Lagos State, Ogba",Honda CR-V 2010 Black,"5,775,000",Local Used,69080 km,Automatic
"Lagos State, Surulere",Lexus RX 330 2005 Gray,"13,000,000",Foreign Used,188027 km,Automatic
"Lagos State, Abule Egba",Toyota Aygo 2015 Black,"6,615,000",Local Used,30097 km,Manual
"Lagos State, Ogudu",Nissan Rogue 2011 Blue,"7,350,000",Local Used,122308 km,Automatic
"Akwa Ibom State, Uyo",Toyota Camry 2002 Silver,"4,680,000",Local Used,282699 km,Automatic
"Rivers State, Port-Harcourt",Toyota Camry 2002 Black,"3,120,000",Local Used,92538 km,Automatic
"Lagos State, Ogudu",Toyota Sienna 2004 Silver,"4,788,000",Local Used,214474 km,Automatic
"Oyo State, Ibadan",Volkswagen Golf 1994 Black,"2,205,000",Local Used,52327 km,Manual
"Abuja (FCT), Kubwa",Kia Optima 2010 Gray,"3,255,000",Local Used,215854 km,Manual
"Lagos State, Ikeja",Ford Edge 2015 Silver,"20,800,000",Local Used,63312 km,Automatic
"Lagos State, Abule Egba",Mercedes-Benz C300 2008 Black,"12,480,000",Foreign Used,306078 km,Automatic
"Lagos State, Lekki",Ford F-150 2013 Black,"11,340,000",Local Used,95116 km,Automatic
"Akwa Ibom State, Uyo",Honda Crosstour 3.5 FWD 2010 Red,"6,300,000",Local Used,64599 km,Automatic
"Lagos State, Lekki",Nissan Altima 2.5 SL 2005 Black,"2,814,000",Local Used,121744 km,Automatic
"Ogun State, Abeokuta North",Toyota Corolla 2007 Gray,"7,350,000",Foreign Used,385414 km,Automatic
"Lagos State, Lekki",Toyota 4-Runner 2013 Black,"52,500,000",Local Used,108028 km,Automatic
"Oyo State, Ibadan",Toyota Camry 2003 Gray,"4,576,000",Local Used,131608 km,Automatic
"Lagos State, Amuwo-Odofin",BMW 528i 2016 Black,"19,950,000",Local Used,255959 km,Automatic
"Edo State, Benin City",Lexus RX 350 2008 Black,"8,925,000",Local Used,189478 km,Automatic
"Abuja (FCT), Lugbe District",Toyota Corolla 2005 Blue,"7,875,000",Foreign Used,1398397 km,Automatic
"Delta State, Oshimili South",Toyota 4-Runner 1997 Green,"3,727,500",Local Used,191745 km,Automatic
"Abuja (FCT), Asokoro",Mercedes-Benz GLA 250 2021 Gray,"67,600,000",Foreign Used,34689 km,Automatic
"Lagos State, Ogba",Nissan Pathfinder 2005 Brown,"3,150,000",Local Used,98519 km,Automatic
"Lagos State, Lekki",Mercedes-Benz GLE-Class 2020 White,"94,500,000",Foreign Used,109001 km,Automatic
"Abuja (FCT), Garki 2",Peugeot 301 2013 Gray,"4,725,000",Local Used,198042 km,Automatic
"Abuja (FCT), Lugbe District",Peugeot 408 2011 Black,"3,675,000",Foreign Used,732232 km,Automatic
"Abuja (FCT), Garki 2",Mercedes-Benz GLA 250 2015 White,"20,215,125",Local Used,116687 km,Automatic
"Abuja (FCT), Garki 2",Hyundai Elantra 2021 White,"36,750,000",Foreign Used,74403 km,Automatic
"Lagos State, Surulere",Volkswagen Sharan 1999 Blue,"3,150,000",Local Used,295551 km,Manual
"Abuja (FCT), Gudu",Acura ZDX 2010 Black,"9,030,000",Local Used,92229 km,Automatic
"Abuja (FCT), Kubwa",Volvo S60 2004 Green,"2,100,000",Local Used,274395 km,Automatic
"Lagos State, Isolo",Lexus LS 2011 Black,"10,500,000",Local Used,62256 km,Automatic
"Lagos State, Lekki",Mercedes-Benz GLE-Class 2016 White,"33,280,000",Local Used,116861 km,Automatic
"Lagos State, Ogudu",Toyota Sienna 2008 White,"12,480,000",Foreign Used,199139 km,Automatic
"Abuja (FCT), Gwarinpa",Honda Stream 2001 White,"2,415,000",Local Used,261864 km,Automatic
"Abuja (FCT), Central Business District",Hyundai Santa Fe 2003 Black,"4,410,000",Local Used,194714 km,Automatic
"Lagos State, Magodo",Toyota Venza 2013 Black,"13,545,000",Local Used,182669 km,Automatic
"Lagos State, Magodo",Lexus RX 350 2007 Gray,"7,476,000",Local Used,178015 km,Automatic
"Abuja (FCT), Lugbe District",Mercedes-Benz E350 2010 Blue,"10,500,000",Local Used,118754 km,Automatic
"Abuja (FCT), Lugbe District",Mercedes-Benz C300 2009 Black,"8,840,000",Local Used,317868 km,Automatic
"Lagos State, Yaba",Honda Accord 2000 Red,"3,120,000",Local Used,482800 km,Automatic
"Rivers State, Port-Harcourt",Land Rover Lr3 SE 2005 Black,"5,250,000",Local Used,200333 km,Automatic
"Abuja (FCT), Kubwa",BMW X3 2005 Silver,"5,250,000",Local Used,252079 km,Automatic
"Rivers State, Port-Harcourt",Volkswagen Passat 1999 Silver,"2,100,000",Local Used,170885 km,Manual
"Lagos State, Isolo",Toyota Highlander 2004 Black,"4,620,000",Local Used,199003 km,Automatic
"Lagos State, Lekki",Toyota Venza V6 2010 Silver,"18,500,625",Foreign Used,217038 km,Automatic
"Lagos State, Ilupeju",Mercedes-Benz C-Class 2005 Black,"6,300,000",Local Used,Automatic,Automatic
"Lagos State, Isolo",Toyota Corolla 2015 Silver,"14,700,000",Foreign Used,126100 km,Automatic
"Abuja (FCT), Asokoro",Mercedes-Benz E350 2015 White,"23,920,000",Foreign Used,288024 km,Automatic
"Lagos State, Lekki",Toyota Sienna XLE FWD 2019 Red,"33,600,000",Foreign Used,7579 km,Automatic
"Lagos State, Amuwo-Odofin",Honda CR-V 1999 Blue,"2,808,000",Local Used,234641 km,Automatic
"Ogun State, Abeokuta North",Toyota Avalon 2005 Silver,"3,990,000",Local Used,268674 km,Automatic
"Abuja (FCT), Gwarinpa",Honda Pilot 2008 Black,"3,564,750",Local Used,125162 km,Automatic
"Lagos State, Ikorodu",Nissan Xterra Automatic 2003 Red,"3,255,000",Local Used,154231 km,Automatic
"Lagos State, Ikeja",Mercedes-Benz GLE-Class 2017 Black,"49,400,000",Foreign Used,128560 km,Automatic
"Lagos State, Kosofe",Lexus RX 300 2001 Black,"5,200,000",Local Used,222035 km,Automatic
"Enugu State, Enugu",Toyota Camry 2008 Black,"7,072,000",Local Used,164651 km,Automatic
"Rivers State, Port-Harcourt",Honda CR-V 2006 Gold,"3,297,000",Local Used,147964 km,Automatic
"Oyo State, Ibadan",Honda Accord 2014 White,"15,600,000",Foreign Used,219024 km,Automatic
"Oyo State, Ibadan",Pontiac Vibe 2009 Blue,"9,360,000",Local Used,132014 km,Automatic
"Lagos State, Ojodu",Toyota Corolla 2016 Black,"9,450,000",Local Used,166130 km,Automatic
"Lagos State, Yaba",Ford Edge 2008 Gray,"4,284,000",Local Used,303848 km,Automatic
"Lagos State, Abule Egba",Toyota Sienna 1999 Green,"3,120,000",Local Used,265013 km,Automatic
"Lagos State, Lekki",Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2008 Silver,"6,090,000",Local Used,178994 km,Automatic
"Lagos State, Ogudu",Toyota Corolla 2008 Black,"5,460,000",Local Used,203885 km,Automatic
"Lagos State, Alimosho",Toyota Sienna 2011 Red,"14,280,000",Foreign Used,174249 km,Automatic
"Oyo State, Ibadan",Mercedes-Benz M Class 2002 Black,"3,675,000",Local Used,294230 km,Automatic
