LOCATION,CAR NAME,PRICE IN NAIRA,USE HISTORY,MILAGE,TRANSMISSION
"Lagos State, Lekki",Toyota RAV4 2007 Black,"9,000,000",Local Used,255085 km,Automatic
"Lagos State, Ajah",Toyota Corolla 2006 Blue,"6,187,500",Local Used,313225 km,Automatic
"Lagos State, Ilupeju",Toyota Camry 2013 Red,"15,750,000",Foreign Used,334192 km,Automatic
"Abuja (FCT), Gwarinpa",Mercedes-Benz GLK-Class 2012 Black,"17,437,500",Local Used,262114 km,Automatic
"Lagos State, Ajah",Toyota Camry 2004 Blue,"4,725,000",Local Used,559878 km,Automatic
"Ogun State, Abeokuta North",Mercedes-Benz M Class 2006 White,"9,000,000",Local Used,340095 km,Automatic
"Abuja (FCT), Asokoro",Mercedes-Benz C180 1999 Silver,"5,625,000",Foreign Used,308073 km,Automatic
"Delta State, Oshimili South",Toyota Highlander 2008 Black,"14,625,000",Local Used,191664 km,Automatic
"Lagos State, Lekki",Toyota Highlander 2008 Black,"10,125,000",Local Used,169994 km,Automatic
"Edo State, Benin City",Land Rover Range Rover Velar 2018 Black,"65,250,000",Local Used,55359 km,Automatic
"Lagos State, Ikoyi",Hyundai Elantra 2010 Gray,"4,500,000",Local Used,247238 km,Automatic
"Abuja (FCT), Gwarinpa",Toyota Camry 2012 Black,"13,950,000",Local Used,371325 km,Automatic
"Abuja (FCT), Gwarinpa",Toyota Matrix 2005 Silver,"5,625,000",Local Used,224510 km,Automatic
"Ogun State, Abeokuta North",Seat Ibiza 1999 Green,"3,150,000",Local Used,12071 km,Manual
"Lagos State, Surulere",Mercedes-Benz M Class 2012 Black,"25,818,750",Foreign Used,261154 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Corolla 2005 Silver,"3,093,750",Local Used,280866 km,Manual
"Lagos State, Kosofe",Hyundai Sonata 2006 Black,"2,587,500",Local Used,223064 km,Automatic
"Abia State, Aba North",Toyota Highlander 2004 Silver,"7,312,500",Local Used,432587 km,Automatic
"Abia State, Aba North",Mercedes-Benz C300 2008 Gray,"7,762,500",Local Used,Automatic,Automatic
"Lagos State, Surulere",Lexus RX 350 2014 Gray,"27,000,000",Foreign Used,127508 km,Automatic
"Lagos State, Alimosho",Toyota Camry 2005 Gray,"4,050,000",Local Used,265415 km,Automatic
"Kaduna State, Kaduna / Kaduna State",Peugeot 206 2006 Black,"2,830,500",Local Used,99999 km,Automatic
"Kaduna State, Kaduna / Kaduna State",Volkswagen Passat 3.6L V6 GT 2018 White,"39,375,000",Foreign Used,63629 km,Automatic
"Lagos State, Ogudu",Toyota Venza 2010 Silver,"14,625,000",Local Used,133681 km,Automatic
"Lagos State, Yaba",Ford Edge 2008 Black,"5,287,500",Local Used,133449 km,Automatic
"Ogun State, Abeokuta North",Toyota Corolla 2015 Red,"9,000,000",Local Used,223287 km,Automatic
"Abuja (FCT), Kubwa",Lexus ES 2008 Burgandy,"9,000,000",Local Used,71000 km,Automatic
"Abuja (FCT), Kubwa",Toyota Corolla 2004 Gray,"4,725,000",Local Used,62160 km,Automatic
"Rivers State, Port-Harcourt",Toyota Camry 2007 Gold,"6,750,000",Local Used,288420 km,Automatic
"Abuja (FCT), Kubwa",Honda Civic 2007 Blue,"3,600,000",Local Used,98803 km,Automatic
"Lagos State, Ikeja",Honda Odyssey 2003 Black,"2,812,500",Local Used,Automatic,Automatic
"Lagos State, Ojodu",Toyota Camry 2014 Gray,"11,250,000",Local Used,87792 km,Automatic
"Lagos State, Ikotun/Igando",Lexus RX 330 2005 Black,"7,920,000",Local Used,302642 km,Automatic
"Lagos State, Ogba",Lexus ES 2007 Burgandy,"9,675,000",Local Used,113305 km,Automatic
"Lagos State, Lekki",Toyota Land Cruiser Prado 2009 Black,"12,150,000",Local Used,144534 km,Automatic
"Lagos State, Ojodu",Toyota Camry 2005 Gray,"3,543,750",Local Used,11938 km,Automatic
"Rivers State, Port-Harcourt",Toyota Highlander Limited 3.5l 4WD 2013 Gray,"15,778,125",Local Used,109866 km,Automatic
"Lagos State, Ojodu",Toyota Camry Hybrid 2009 Gold,"5,850,000",Local Used,118305 km,Automatic
"Lagos State, Amuwo-Odofin",Lexus GX 2014 Gray,"40,162,500",Local Used,73561 km,Automatic
"Ondo State, Akure",Volvo XC90 2003 Blue,"3,262,500",Local Used,403764 km,Automatic
"Lagos State, Lekki",Lexus RX 350 2014 Gray,"18,450,000",Local Used,62301 km,Automatic
"Edo State, Benin City",Toyota Camry 2008 Red,"6,525,000",Local Used,124695 km,Automatic
"Edo State, Benin City",Toyota Corolla 2005 Silver,"5,850,000",Local Used,172040 km,Automatic
"Edo State, Benin City",Lexus RX 300 2001 Blue,"5,062,500",Local Used,233144 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Camry 2012 Gray,"16,200,000",Foreign Used,307913 km,Automatic
"Abuja (FCT), Lugbe District",Honda Pilot 2004 Gray,"6,750,000",Local Used,337563 km,Automatic
"Lagos State, Ojodu",Toyota Sienna 2006 Gray,"6,187,500",Local Used,144103 km,Automatic
"Ogun State, Abeokuta North",Honda Accord 2003 Black,"3,375,000",Local Used,537978 km,Automatic
"Lagos State, Lekki",Honda Accord 2018 Black,"20,250,000",Local Used,49739 km,Automatic
"Lagos State, Alimosho",Toyota RAV4 2007 Silver,"7,875,000",Local Used,352181 km,Automatic
"Lagos State, Ilupeju",Toyota Camry 2011 Red,"9,360,000",Local Used,115822 km,Automatic
"Lagos State, Ikotun/Igando",Renault Kangoo 2001 Blue,"1,680,000",Local Used,100000 km,Manual
"Abuja (FCT), Lugbe District",Toyota Sienna 2004 Gray,"4,987,500",Local Used,526077 km,Automatic
"Lagos State, Ikeja",Toyota Sienna 2011 Red,"10,185,000",Local Used,145827 km,Automatic
"Oyo State, Ibadan",Lexus ES 2002 Gray,"4,620,000",Local Used,123401 km,Automatic
"Oyo State, Ibadan",Toyota Camry 2007 Blue,"4,998,000",Local Used,271077 km,Automatic
"Lagos State, Abule Egba",Toyota Camry 2007 Gray,"6,069,000",Local Used,192874 km,Automatic
"Lagos State, Yaba",Toyota Camry 2007 Red,"5,670,000",Local Used,365579 km,Automatic
"Lagos State, Ogudu",Toyota Camry 2007 Gold,"6,720,000",Local Used,113156 km,Automatic
"Abuja (FCT), Gwarinpa",Toyota Highlander 2018 Gray,"28,782,600",Local Used,31147 km,Automatic
"Lagos State, Amuwo-Odofin",Toyota Corolla 2003 Black,"3,927,000",Local Used,221748 km,Automatic
"Abuja (FCT), Gwarinpa",Peugeot 407 2010 Black,"4,935,000",Local Used,720735 km,Automatic
"Abuja (FCT), Gwarinpa",Ford Edge 2012 Black,"5,985,000",Local Used,143526 km,Automatic
"Abuja (FCT), Gwarinpa",Peugeot RC 2011 White,"15,750,000",Foreign Used,135789 km,Manual
"Lagos State, Lekki",Mercedes-Benz GLS-Class 2020 White,"151,725,000",Foreign Used,27651 km,Automatic
"Lagos State, Yaba",Toyota Corolla 2017 Black,"17,680,000",Local Used,21822 km,Automatic
"Oyo State, Ibadan",Toyota RAV4 2012 Black,"16,640,000",Foreign Used,134231 km,Automatic
"Oyo State, Ibadan",Nissan Micra 1999 Red,"2,730,000",Local Used,147786 km,Manual
"Lagos State, Surulere",Toyota Camry 2002 Silver,"3,536,000",Local Used,403316 km,Automatic
"Kaduna State, Kaduna / Kaduna State",Kia Cerato 2011 Black,"3,675,000",Local Used,99999 km,Manual
"Kaduna State, Kaduna / Kaduna State",Toyota Corolla Sedan Automatic 2005 Black,"5,200,000",Local Used,276665 km,Automatic
"Lagos State, Isolo",Toyota Camry 2012 Gray,"12,480,000",Local Used,164625 km,Automatic
"Lagos State, Surulere",Infiniti Q60 2015 Gray,"23,625,000",Foreign Used,268154 km,Automatic
"Lagos State, Ikeja",Ford Edge 2008 Gray,"3,906,000",Local Used,367833 km,Automatic
"Edo State, Benin City",Mercedes-Benz C180 2005 Blue,"3,150,000",Local Used,293034 km,Manual
"Oyo State, Ibadan",Toyota 4-Runner 2003 Gray,"5,250,000",Local Used,20285 km,Automatic
"Ogun State, Abeokuta North",Nissan Almera 1998 Green,"1,785,000",Local Used,302329 km,Manual
"Lagos State, Ikorodu",Toyota Sienna 2004 Gold,"5,250,000",Local Used,113287 km,Automatic
"Oyo State, Ibadan",Lexus NX 2016 Silver,"28,125,000",Local Used,181108 km,Automatic
"Lagos State, Ajah",Mercedes-Benz E350 2014 Brown,"15,600,000",Local Used,121440 km,Automatic
"Lagos State, Lekki",Mitsubishi Pajero 2016 Black,"16,168,950",Local Used,83800 km,Automatic
"Abuja (FCT), Karu",Hyundai Elantra 2017 Gray,"17,680,000",Foreign Used,208840 km,Automatic
"Lagos State, Ilupeju",Toyota Highlander 2018 Silver,"39,520,000",Foreign Used,77539 km,Automatic
"Ogun State, Abeokuta North",Honda Pilot 2011 Silver,"13,125,000",Foreign Used,256139 km,Automatic
"Ogun State, Abeokuta North",Toyota Corolla 2003 Black,"3,675,000",Local Used,299999 km,Automatic
